Packet Size,Count
0,0
10,0
20,0
30,0
40,0
50,13
60,71
70,353
80,33
90,12
100,18
110,5
120,8288
130,18744
140,21055
150,22373
160,28019
170,8658
180,3085
190,478
200,130
210,112
220,179
230,176
240,74
250,16
260,7
270,8
280,17
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
